Name,Timestamp,Date,Amount Raised,Round,Description,Lead Investor,Category,Source,Valuation,Chains,Other Investors
"Fjord Foundry",1710288000,"2024-03-13",4300000,"Seed","community-focused platform, offering fair and transparent Liquidity Bootstrapping Pools","Lemniscap","Web3","https://x.com/FjordFoundry/status/1767969619229172209","","Ethereum","Mechanism Capital + Zee Prime Capital + DCD + UniswapVilain + Rager + JZ + Kieran Warwick + Fomosaurus"
"Munchables",1710288000,"2024-03-13","","Pre-Seed","NFT game","Manifold + Mechanism Capital","Gaming","https://x.com/_munchables_/status/1767717647217791375","","","Selini Capital + Duplicate Capital + Hidden Street Capital + CBB0FE + DCF God + Shoku + 0xLawliette + NBS + Bharat Krymo + dingaling + hype partners + Casey Caruso"
"MetalCore",1710201600,"2024-03-12",5000000,"Private","1st/3rd Person Combat Territorial Warfare PvPvE Shooter","","Gaming","https://x.com/TheBlock__/status/1767581681681158638","","ImmutableX + Ethereum","Delphi Digital + Sanctor Capital + BITKRAFT Ventures + The Spartan Group"
"Elixir Protocol",1710201600,"2024-03-12",8000000,"Series B","decentralized, algorithmic market making protocol","Mysten Labs + Maelstrom ","DEX","https://x.com/elixir/status/1767537221748326752","800","","Arthur Hayes + Manifold + GSR Ventures + Amber Group + Flowdesk"
"NFTfi",1710115200,"2024-03-11",6000000,"Series A1","NFT lending protocol","Placeholder","DeFi","https://x.com/NFTfi/status/1767228638871822722","","Ethereum","Maven 11 Capital + Kahuna + Launch Labs Inc + Brevan Howard + The Lao + Reciprocal Ventures + A.Capital + HASH CIB + Bloccelerate + Cypher Capital + Longhash Ventures"
"Eclipse Labs",1710115200,"2024-03-11",50000000,"Series A","Ethereum layer-2 using the Solana Virtual Machine (SVM)","Placeholder + Hack VC","L2","https://x.com/EclipseFND/status/1767212277285969979","","Ethereum","Polychain Capital + Maven 11 Capital + DBA + Delphi Digital + Fenbushi Capital + Bankless Ventures + Flow Traders + OKX Ventures + Barnabe Monnot + John Adler + Mert Mumtaz + Austin Federa + DCInvestor + Hasu + Cozomo de’ Medici + Meltem Demirors + ZachXBT + Anthony Sassano + Santiago Roel Santos + Jill Gunter + DeeZe + Eric Wall"
"Blockus",1710115200,"2024-03-11",4000000,"Pre-Seed","web3 gaming platform","Maple VC","Gaming","https://x.com/GamesBeat/status/1767173675973759245","",""," Altos Ventures + Zhuoxun Yin + Michael Ma + Bryan Pellegrino"
"Cellula",1709856000,"2024-03-08","","Private","fully on-chain autonomous life simulation strategy game","Binance Labs","Gaming","https://x.com/BinanceLabs/status/1766011339665821736","","",""
"Derivio",1709856000,"2024-03-08","","Private","decentralized structured derivatives ecosystem","Binance Labs","DeFi","https://x.com/BinanceLabs/status/1766011339665821736","","zkSync",""
"UXUY",1709856000,"2024-03-08","","Private","multi-chain platform based on MPC and AA wallet technology with intent-centric features, minimizing the entry barriers to decentralized trading","Binance Labs","Infrastructure","https://x.com/BinanceLabs/status/1766011339665821736","","",""
"Shogun",1709856000,"2024-03-08","","Private","intent-centric protocol that aims to maximize trader extractable value (TEV) via optimized orderflow and complete chain abstraction","Binance Labs","DeFi","https://x.com/BinanceLabs/status/1766011339665821736","","",""
"NFPrompt",1709856000,"2024-03-08","","Private","Prompt Artist Platform in Web3","Binance Labs","NFT","https://x.com/BinanceLabs/status/1766011339665821736","","",""
"Ethena",1709856000,"2024-03-08","","Private","synthetic dollar protocol built on Ethereum","Binance Labs","DeFi","https://x.com/BinanceLabs/status/1766011339665821736","","Ethereum",""
"QnA3",1709856000,"2024-03-08","","Private","AI-powered Web3 knowledge sharing and search platform","Binance Labs","AI","https://x.com/BinanceLabs/status/1766011339665821736","","",""
"Cosmology",1709769600,"2024-03-07",5000000,"Seed","full-stack development environment tailored specifically for the Cosmos ecosystem","Galileo + Lemniscap","Infrastructure","https://x.com/cosmology_tech/status/1765776264252768280","","Cosmos","Lemniscap + Dispersion Capital + HashKey Capital + Tuesday Capital + Osmosis Foundation + Chorus One + Informal Systems"
"Zama",1709769600,"2024-03-07",73000000,"Series A","open source cryptography company that builds state-of-the-art Fully Homomorphic Encryption (FHE) solutions for blockchain and A","Multicoin Capital + Protocol Labs","Infrastructure","https://x.com/zama_fhe/status/1765727386480320771","","Ethereum + Optimism + Polygon + Avalanche + Fantom","Metaplanet + Blockchange Ventures + Vsquared Ventures +  Stake Capital + Juan Benet + Anatoly Yakovenko + Gavin Wood"
"Blackwing",1709769600,"2024-03-07",7500000,"Seed","modular layer 2 blockchain designed for liquidation-free leveraged trading for any asset","Hashed + gumi Crypto Capital","L2","https://x.com/blackwing_fi/status/1765797739236143498","","","Alpha Lab Capital + Coin98 Ventures + CyberX + Saison Capital + K300 Ventures + DCF God + Fiskantes + 0xbrent + icebergy + Rooter + Anand Iyer + Julian Koh + Tom Howard + Andy + naniXBT + Cygaar"
"Oyl",1709769600,"2024-03-07",3000000,"Pre-Seed","Bitcoin Ordinals Wallet ","Arca","Infrastructure","https://x.com/TheBlock__/status/1765799860039540943","","Bitcoin","Domo + Maelstrom Fund"
"Hedgehog",1709683200,"2024-03-06",1500000,"Pre-Seed","Protocol for hedging against crypto transaction fees","","DeFi","https://x.com/TheHedgehog_io/status/1765355385290965024","","Manta + Arbitrum + zkSync + Optimism + BTC","Marshland Capital + Tenzor Capital + Prometeus Ventures + 3Commas Capital + Nothing Research + Vasiliy Shapovalov + Banteg + Ivangbi"
"TON",1709683200,"2024-03-06",8000000,"Secondary Market","TON Labs is a core developer of the Free TON blockchain protocol and TON OS (operating system).","","L1","https://x.com/ton_blockchain/status/1765425008627568969","","",""
"Firewall",1709683200,"2024-03-06",3700000,"Pre-Seed","blockchain security infrastructure firm","North Island Venture + Breyer Capital + Hack VC","Smart contract security","https://x.com/iamoptmstc/status/1765424566518874692","","","Finality Capital Partners + Kain Warwick + Smokey The Bera + Tim Ogilvie + Nathan McCauley + Xinsu Dong + Jack Bounce + Pranay Mohan"
"Sahara",1709596800,"2024-03-05",6000000,"Seed","decentralized AI network","Polychain Capital","AI","https://x.com/SaharaLabsAI/status/1765081695576006850","","Polygon","Samsung Next + Matrix Partners + Motherson Group + Sandeep Nailwal + Sequoia Capital + Dao5 + Geekcartel + Nomad Capital + Canonical Crypto + Dispersion Capital + Alumni Ventures + Tangent + Coho Deeptech"
"Baanx",1709596800,"2024-03-05",20000000,"Series A","crypto payments platform","Ledger + Tezos Foundation + Chiron + British Business Bank","Payments","https://x.com/CoinDesk/status/1764948180536365263","","","Multicoin Capital + 6th Man Ventures + M13 + Delphi Digital + Solana Labs + Aptos Labs + Foresight Ventures + Longhash Ventures + Amber + SevenX Ventures + Arkstream + Animoca Brands + Continue Capital + MH Ventures + Sandbox Games + Anatoly Yakovenko + Mo Shaikh + Avery Ching + Yat Siu + Sebastien Borget + Jin Kang"
"Ionet",1709596800,"2024-03-05",30000000,"Series A","decentralized GPU network","Hack VC","decentralized protocol for perpetual options","https://x.com/ionet_official/status/1765065611674374365","1000","",""
"Utila",1709596800,"2024-03-05",11500000,"Seed","self-custodial wallet infrastructure at enterprise scale","NFX + Wing Venture Capital + Framework Ventures","Infrastructure","https://x.com/CoinDesk/status/1765014998286237924","","Ethereum + StarkNet + Bitcoin + Solana + Avalanche + Optimism + BSC + Arbitrum + Polygon","Fasanara Digital Ventures + North Island Ventures + Republic Capital + Liquid 2 Ventures + Inspired Capital Partners + Lyrik Ventures + DCG Expedictions + Launchpad Capital + Shima Capital + K5 Global + Big Brain Holdings + Impatient"
"CredShields",1709510400,"2024-03-04",1000000,"Strategic ","Web3 security","Draper Associates","Smart contract security","https://x.com/CredShields/status/1764582211859231152","","Ethereum",""
"Privasea",1709510400,"2024-03-04",5000000,"Seed","Network integration of Fully Homomorphic Encryption Machine Learning (FHEML) into a distributed computing network","","Infrastructure","https://x.com/Privasea_ai/status/1764644482287546465","","","Binance Labs + MH Ventures + Gate Labs + K300 + QB Ventures +  Crypto Times + Zakaria Awes +  Luke Sheng"
"Stack",1709510400,"2024-03-04",3000000,"Seed","on-chain points infrastructure","Archetype","Infrastructure","https://x.com/stackdotso/status/1764708473994928211","","Ethereum","Coinbase Ventures + Scalar Capital + A.Capital + Balaji Srinivasan + Nadav Hollander + Henri Stern + Cooper Turley + Colin Armstrong"
"Scallop Protocol",1709424000,"2024-03-03",3000000,"Strategic ","lending and borrowing protocol","CMS + 6th Man Ventures","Def","https://x.com/Scallop_io/status/1764190033970380813","","Sui","KuCoin Labs + Side Door Ventures + Oak Grove Ventures + Signum Capital + Blockchain Founders Fund + Cypher Capital + Mysten Labs + Kyros Ventures + 8186 Capital + 7UpDAO + LBank Labs + ViaBTC + Cetus Protocol + Zellic + AC Capital + Criterion VC + UOB Venture Management"
"Taiko",1709424000,"2024-03-03",15000000,"Series A","A decentralized, Ethereum-equivalent ZK-Rollup","Lightspeed Faction + Hashed + Generative Ventures + Token Bay Capital","L2","https://x.com/taikoxyz/status/1763961321933189153","","Ethereum","Wintermute + Presto Labs + Flow Traders + Amber Group + OKX + GSR + WWVentures"
"ReadyGG",1709251200,"2024-03-01",4000000,"Private"," infrastructure for the Web3 Games & Dev creator economy","Delphi Digital + Momentum6","Infrastructure","https://x.com/CryptoDiffer/status/1763182635109503225","","","Merit Circle + ZBS CAPITAL + Token Metrics Ventures + Purechain Capital + Alex Becker"
"Karma3 Labs",1709251200,"2024-03-01",4500000,"Seed","decentralized reputation protocol","Galaxy Digital + IDEO CoLab Ventures","decentralized protocol for perpetual options","https://x.com/karma3labs/status/1763584358701551978","","","Spartan + SevenX Ventures + HashKey + Flybridge + Draper Dragon + Compa Capital + Delta Blockchain Fund + Andrew Hong +  Liang Wu"
"Imaginary Ones",1709164800,"2024-02-29","","Private","Web3 gaming & NFTs","","Gaming","https://x.com/Imaginary_Ones/status/1763225147094307065","","","Cypher Capital + Animoca Brands + Eden Holdings + MH Ventures + Illuminati Capital + NxGen + Hercules Ventures + Andromeda Capital + PG Capital + Yu-Chuang Kuek + Sebastien Borget + Frances Han + Amit Malhotra + Gwendolyn Regina + dingaling +  Ivan on Tech + Mooncat2878 + Xeer + Dewku"
"FortyTwo",1709164800,"2024-02-29",1000000,"Seed","aggregating dApps, wallets, and DeFi solutions into one","LBank Labs","Infrastructure","https://x.com/FortyTwo_money/status/1763191581492863130","","","Binary Builders + Dorahacks + Interop Ventures + Kahuna + Longhash Ventures + Public Works + Typhon Ventures + Brian Crain + Darren Li + Dean Eigenmann + Dean Tribble  + Don Cryptonium + Eli Krenzke + Jonathan Gabler + Josh Kang + Noam Cohen + Onur Akpolat + Sam Cassatt + Shane Vitarana + Sky Lai + Suhail Gangji  + Wilsen Tiomajaya"
"ContributionDAO",1709078400,"2024-02-28",2800000,"Seed","institutional-grade staking platform","KASIKORN X Venture Capital ","Infrastructure","https://decrypt.co/219414/contributiondao-successfully-raises-2-8-million-to-expand-staking-into-the-southeast-asia-market","","","Axelar + UMI + Connext + Monad"
"BounceBit",1709078400,"2024-02-28",6000000,"Seed","BTC restaking infrastructure","Breyer Capital + Blockchain Capital","Liquid Staking Protocol","https://x.com/bounce_bit/status/1762874894520656120","","BTC","Dao5 + CMS Capital + Bankless Ventures + NGC Ventures + Matrixport + Primitive Ventures + Arcane Capital + IDG Capital + Bixin Ventures + Nomad Capital + Geek Cartel + DeFiance Capital + GMR + OKX Ventures + Mirana Ventures + HTX Ventures + MEXC Ventures + James Parillo + RookieXBT + MacnBTC + Pentoshi"
"Humanity Protocol",1709078400,"2024-02-28","","Strategic ","sybil-resistant layer 2 blockchain","","L2","https://x.com/Humanityprot/status/1762734931791249436","","","Hashed + CMCC Global +  Cypher Capital + Foresight Ventures + Mechanism Capital"
"Octav",1709078400,"2024-02-28",4000000,"Strategic ","Smart DeFi Data Labelling and Analytics Platform","","Analytics","https://x.com/OctavFi/status/1762861271811256542","","Ethereum + Arbitrum + Optimism",""
